f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username
710;13;Rangkasbitung;2;yanti_d3;282240
711;3;Sritejokencono;4;uptdata_fti;282240
712;71;Simangulampe;7;fti-uptdata;282240
713;10;Nunukan;11;Akademik;282240
714;11;Limbung;11;Akademik;282240
715;12;Sopu;11;Akademik;282240
716;13;Luwuk;11;Akademik;282240
717;14;Tarra Matekkeng;11;Akademik;282240
718;15;Tanjung;11;Akademik;282240
719;37;Kartaraharja;12;istn-54f2cb5db4;288632
720;19;Bangko;12;Akademik;282240
721;20;Sibabangun;12;Akademik;282240
722;2;Sanggar Buana;22;Akademik;282240
723;14;Klangenan;2;Akademik;282240
724;8;Betun;33;Akademik;282240
725;53;Sungai Guntung;11;Akademik;282240
726;8;Seith;21;Akademik;282240
727;3;Meliau;10;Akademik;282240
728;9;Buntok;33;Akademik;282240
729;10;Mengkatip;33;Akademik;282240
730;7;Gisting;18;Akademik;282240
731;22;Tanjung Rusa;9;Akademik;282240
732;72;Tarutung;7;Akademik;282240
733;22;Gandeng;19;Akademik;282240
734;5;Alue He Puteh;6;Akademik;282240
735;4;Sarang Elang;10;Akademik;282240
736;9;Batu Sori;21;dodol;282240
737;12;Muaramais Jambur;9;Akademik;282240
738;16;Kuala Tungkal;11;Akademik;282240
739;5;Kuala Tungkal;10;Akademik;282240
740;73;Tapiannauli;7;Akademik;282240
741;54;Muara Enim;11;Akademik;282240
742;11;Manggar;33;Akademik;282240
743;23;Tanjung Rejo;9;Akademik;282240
744;24;Pasir Kota Baru;9;Akademik;282240
745;25;Kaduas;9;Akademik;282240
746;26;Surau Munai;9;Akademik;282240
747;11;Tulungagung;3;Akademik;282240
748;12;Gunungkidul;3;Akademik;282240
749;13;Karanganyar, Solo;3;Akademik;282240
750;6;Lawe Sigala-Gala;6;Akademik;282240
751;19;Sinar Toba;9;BAAKISTN-PC;2151322
752;67;Pangebatan;3;Akademik;282240
753;124;Galur;33;debrina;288632
754;74;Lumban Sitorus;7;Akademik;282240
755;62;Tariang Lama;19;Akademik;282240
756;55;Rangkas Bitung;2;Akademik;282240
757;50;Padang Genting;8;Akademik;282240
758;23;Belawa Wajo;19;Akademik;282240
759;24;Cenrana;19;Akademik;282240
760;126;Betun;33;debrina;288632
761;14;Waingapu;33;Akademik;282240
762;13;Sering;9;Akademik;282240
763;75;Cotgirek;7;Akademik;282240
764;68;Gadingrejo;3;Akademik;282240
765;26;Cilegon;2;Akademik;282240
766;76;Dahana;7;Akademik;282240
767;7;Desa Mesjid;6;Akademik;282240
768;63;Kayumalue Pajeko;19;Akademik;282240
769;56;Sukahaji;2;Akademik;282240
770;64;Tampiala;19;Akademik;282240
771;57;Panyabungan Jae;2;Akademik;282240
772;21;Gisting;12;Akademik;282240
773;51;Kotabaru;8;Akademik;282240
774;55;Serinanti Oki;11;Akademik;282240
775;56;Sang Agung;11;Akademik;282240
776;57;Tanjung Raja;11;Akademik;282240
777;58;Sidakersa;11;Akademik;282240
778;10;Sei-Putat;13;Akademik;282240
779;65;Kotaraya;19;Akademik;282240
780;59;Tulung Selapan;11;Akademik;282240
781;58;Gunung Kemala;2;Akademik;282240
782;59;Batu Marta;2;Akademik;282240
783;60;Situbondo;5;Akademik;282240
784;61;Kemranjen Banyumas;5;Akademik;282240
785;3;Belinyu;35;pusdatik-02;282240
786;60;Melati I;2;Akademik;282240
