f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username;f_tanggalupdate
346;49;Polewali Mamasa;19;;;49:07.3
347;50;Majene;19;;;49:07.3
348;51;Mamuju;19;;;49:07.3
349;21;Kendari;20;;;49:07.3
1767;27;Notoharjo;12;debrina;288632;25:56.4
351;31;Kendari;20;;;49:07.3
352;32;Buton;20;;;49:07.3
353;33;Kolaka;20;;;49:07.3
354;34;Muna;20;;;49:07.3
355;1;Ambon;21;;;49:07.3
356;21;Ternate;21;;;49:07.3
1848;2;Waro;44;debrina;288632;18:59.8
358;32;Maluku Tengah;21;;;49:07.3
359;33;Halmahera Tengah;21;;;49:07.3
360;34;Maluku Utara;21;;;49:07.3
361;21;Denpasar;22;;;49:07.3
1263;33;Bogenga;33;BAAK-PC;288646;51:05.7
363;32;Bangli;22;;;49:07.3
364;33;Buleleng;22;;;49:07.3
365;34;Gianyar;22;;;49:07.3
366;35;Jembrana;22;;;49:07.3
367;36;Karang Asem;22;;;49:07.3
368;37;Klungkung;22;;;49:07.3
369;38;Tabanan;22;;;49:07.3
370;21;Mataram;23;;;49:07.3
371;31;Bima;23;;;49:07.3
372;32;Dompu;23;;;49:07.3
373;33;Lombok Barat;23;;;49:07.3
376;36;Sumbawa;23;;;49:07.3
377;21;Kupang;24;;;49:07.3
378;31;Sumba Barat;24;;;49:07.3
379;32;Sumba Timur;24;;;49:07.3
380;33;Timor Tengah Selatan;24;;;49:07.3
381;34;Timor Tengah Utara;24;;;49:07.3
382;35;Belu;24;;;49:07.3
383;36;Alor;24;;;49:07.3
384;37;Flores Timur;24;;;49:07.3
385;38;Sikka;24;;;49:07.3
386;39;Ende;24;;;49:07.3
387;40;Ngade;24;;;49:07.3
388;41;Manggarai;24;;;49:07.3
389;21;Jayapura;25;;;49:07.3
390;31;Fak-Fak;25;;;49:07.3
391;32;Jayapura;25;;;49:07.3
392;33;Manokwari;25;;;49:07.3
393;34;Merauke;25;;;49:07.3
394;35;Paniai / Nabire;25;;;49:07.3
395;36;Sorong;25;;;49:07.3
396;37;Teluk Cendrawasih;25;;;49:07.3
397;38;Yapen Waropen;25;;;49:07.3
398;39;Peg. Jaya Wijaya;25;;;49:07.3
399;1;Bengkulu;26;;;49:07.3
400;31;Bengkulu Selatan;26;;;49:07.3
1839;28;Negara Bumi;12;debrina;288632;26:15.8
402;33;Rejang Lebong;26;;;49:07.3
404;31;Baucau;27;;;49:07.3
405;32;Manaturo;27;;;49:07.3
406;33;Latem;27;;;49:07.3
407;34;Viqueque;27;;;49:07.3
408;35;Ainaro;27;;;49:07.3
409;36;Manufahi;27;;;49:07.3
410;37;Cova Lima;27;;;49:07.3
411;38;Ambeno;27;;;49:07.3
412;39;Bobonaro;27;;;49:07.3
413;40;Liquica;27;;;49:07.3
414;41;Ermera;27;;;49:07.3
415;42;Aileu;27;;;49:07.3
89;3;Jakarta Pusat;1;;;49:07.3
90;4;Jakarta Barat;1;;;49:07.3
91;5;Jakarta Utara;1;;;49:07.3
88;2;Jakarta Timur;1;;;20:51.1
416;6;34324;;;;20:57.6
417;78;hjhgjhgj;;;;22:03.1
1873;29;Kesumajaya;12;debrina;288632;26:34.4
1874;30;Panjang;12;debrina;288632;26:50.3
421;0;Jakarta;1;istnprima;admin;22:09.5
422;60;Solo;3;istnprima;admin;25:48.5
494;45;Batu Palano;8;administrator;282240;41:48.0
1352;78;KOTO TUO;8;yuli;288632;03:41.1
425;93;Brisbane;28;istnprima;admin;28:47.4
426;61;Kutoarjo;3;kepegawaian;288630;18:51.8
1906;94;Jagaraga;11;debrina;288632;36:35.8
427;62;Gombong;3;kepegawaian;288630;19:35.5
428;63;Ketanggungan;3;kepegawaian;288630;20:10.3
429;64;Sragen;3;kepegawaian;288630;09:02.5
430;65;Kroya;3;PMB;288630;02:36.6
431;37;Sape;23;developer;admin;17:31.4
432;36;Daik;9;developer;admin;56:28.1
433;39;Martapura;11;developer;admin;58:55.9
434;66;Puring Kebumen;3;developer;admin;01:57.7
435;43;Gunungsitoli;7;developer;admin;04:13.1
436;37;Duri;9;developer;admin;07:20.6
1907;10;Kalidadi;12;debrina;288632;55:25.4
1353;12;Sipinggan;7;BAAKISTN-PC;2151322;35:13.7
439;39;Muaro Tantang;8;developer;admin;10:08.1
442;40;Sentani;25;pmb;1991065;37:12.1
441;41;Sungai Bungin;11;istn-dev;11930005;56:22.6
440;40;Muaradua;11;istn-dev;11930005;58:01.6
444;40;Lubuk Basung;8;pmb;1991065;05:02.5
443;43;Parit Tiga Jebus;11;istn-dev;1991065;07:21.5
445;42;Pagaralam;11;istn-dev;1991065;07:44.4
446;44;Limbong;7;istn-dev;1991065;08:13.7
447;51;Rangkasbitung;2;istn-dev;1991065;09:13.8
448;38;Tembilahan;9;istn-dev;1991065;43:54.9
449;41;Bapinang Hulu;14;istn-dev;1991065;44:52.4
450;45;Sukaramai;7;pusdatik01;1991065;52:25.8
451;44;Nanjungan;11;pusdatik01;1991065;24:59.6
1908;9;Kalirejo;12;debrina;288632;07:34.2
453;41;Koto Alam;8;istn-dev;1991065;32:44.4
454;42;Tapan;8;istn-dev;1991065;33:08.4
251;1;Lubuk Jambi;10;istn-dev;1991065;33:51.2
237;33;Muaro Bodi;8;istn-dev;1991065;31:01.3
455;46;Parongil;7;pusdatik01;282240;48:29.1
456;45;sengir;11;wasim;282240;33:21.1
457;46;Sungailiat;11;wasim;282240;35:53.9
458;39;Tanjung Pinang;9;wasim;282240;25:18.1
459;46;Bandar Dolok;7;wasim;282240;09:23.3
460;43;Simpang Tiga Ophir;8;pusdatik-01;admin;52:23.9
461;47;Balige;7;wasim;282240;19:41.4
462;42;lewolwba;24;wasim;282240;00:13.4
463;43;Habijanang;24;wasim;282240;33:06.0
464;38;Ranggase;23;wasim;282240;03:55.2
465;47;Tugu Mulyo;11;wasim;282240;39:30.2
466;44;Bayur;8;pusdatik-01;admin;08:50.0
467;35;SENGKANG;4;wasim;282240;54:00.9
468;44;Mok;24;wasim;282240;36:41.5
469;48;Rayamas;7;user-39d10cbd43;282240;51:54.8
470;48;Naras;11;wasim;282240;09:20.2
1470;83;Takofi;21;istn-54f2cb5db4;288632;19:41.4
472;50;Sidikalang;7;P2NR-Rudy;282240;07:50.5
473;38;Rimbo Bujang;10;P2NR-Rudy;282240;08:31.7
474;49;Mentok;11;P2NR-Rudy;282240;09:59.9
475;51;Haranggaol;7;P2NR-Rudy;282240;24:28.4
476;42;Kasongan;14;P2NR-Rudy;282240;37:29.0
477;52;Sukarani;7;administrator;282240;05:21.8
478;53;Sukarami;7;administrator;282240;11:48.6
1909;107;Kombo-wowo;23;debrina;288632;09:25.0
495;46;Parit;8;administrator;282240;42:09.3
481;1;Kampong Speu;32;administrator;282240;33:56.4
482;2;Preahyihear;32;administrator;282240;40:54.7
483;54;Perdagangan;7;wasim;282240;51:17.1
496;57;Pulau Rakyat;7;administrator;282240;42:55.4
484;52;Makassar;19;wasim;282240;12:12.8
485;52;Cikarang;2;administrator;282240;15:07.0
486;39;Balinggi;22;administrator;282240;35:45.4
750;6;Lawe Sigala-Gala;6;Akademik;282240;10:28.6
488;35;Biak;17;administrator;282240;37:20.4
1910;31;Kresnowidodo;12;debrina;288632;09:20.9
490;39;Tanjung Jati;10;administrator;282240;16:37.4
491;45;Flores;24;administrator;282240;31:32.2
492;55;Karang Sari;7;administrator;282240;33:39.7
1911;32;Pesawaran;12;debrina;288632;10:04.1
480;41;Maumere;25;administrator;282240;35:55.0
493;56;Hutanagodang;7;administrator;282240;30:49.1
497;40;Bangkinang;9;administrator;282240;43:26.2
1912;165;Tandam Hilir;7;debrina;288632;47:27.6
499;47;Batusangkar;8;administrator;282240;47:41.8
500;48;Tanjung Jati;8;administrator;282240;48:01.5
501;6;usa;1;administrator;282240;53:35.2
502;49;Kuala Simpang;8;administrator;282240;11:28.3
503;40;Bali;22;administrator;282240;51:57.6
504;58;Lumban Ganjang;7;administrator;282240;08:51.3
505;50;Soroako;11;administrator;282240;23:07.9
506;3;Kumbang;6;administrator;282240;51:12.4
507;35;Nuwewang;21;administrator;282240;08:10.0
508;7;Bandar Purba;7;administrator;282240;09:16.4
509;2;Rasau Jaya;13;administrator;282240;09:48.3
510;3;Koba;11;administrator;282240;41:28.1
511;2;Lempur Mudik;4;administrator;282240;41:08.4
512;2;Tenggarong;33;administrator;282240;35:11.9
513;8;Sirombu;7;administrator;282240;15:16.0
514;41;Lubuk Pakam;7;administrator;282240;59:01.4
515;3;Ruteng;33;administrator;282240;04:00.2
516;4;Langgam;33;administrator;282240;18:01.6
517;53;Pungkalawaki;19;administrator;282240;51:21.7
549;10;Pasir Pengarayan;7;administrator;282240;25:36.1
518;36;Tehoru;17;administrator;282240;52:18.6
1844;39;Bukit Peninjauan;26;debrina;288632;15:36.8
520;53;Sukarami;2;administrator;282240;54:09.6
521;54;Kajuara Bone;19;administrator;282240;54:50.8
522;55;Liangbai;19;administrator;282240;55:09.8
523;35;Tolitoli;20;administrator;282240;56:13.6
524;56;Cilellang;19;administrator;282240;56:43.3
550;11;Panyabungan I;7;administrator;282240;30:08.7
1846;41;Bengkulu Selatan;26;debrina;288632;16:38.0
526;3;Putussibau;13;administrator;282240;14:29.3
527;1;Lamangga;20;administrator;282240;11:26.8
528;2;Bone;20;administrator;282240;11:44.7
529;3;Penaraga;20;administrator;282240;12:03.0
530;4;Mandonga;20;administrator;282240;12:24.8
525;57;Jampoe;19;administrator;282240;13:12.5
531;3;Allita;19;administrator;282240;13:38.3
532;5;Pallengoreng;19;administrator;282240;14:18.1
533;6;Watampone;19;administrator;282240;14:59.1
534;7;Salobongko;19;administrator;282240;15:22.4
535;8;Pure;19;administrator;282240;15:32.4
536;3;Marah Haloq;16;administrator;282240;16:06.6
537;2;Soahuku;21;administrator;282240;50:22.8
538;4;Rantepao;19;administrator;282240;51:03.5
539;1;Tolai;18;administrator;282240;51:28.0
1847;90;Karang Tanding;11;debrina;288632;38:35.7
541;7;Pariaman;8;administrator;282240;32:40.9
542;3;banda;21;administrator;282240;56:56.7
543;3;Lasusua;17;administrator;282240;17:31.6
544;4;Toinasa;17;administrator;282240;17:56.8
545;9;Taba;19;administrator;282240;18:20.5
166;4;Pasuruan;5;administrator;282240;30:39.4
546;2;Sipi;18;administrator;282240;47:09.8
552;8;Lubuk Landai;8;administrator;282240;20:06.1
1849;97;Telutih Baru;21;debrina;288632;57:36.3
547;10;S. Binangae Barru;19;user-39d10cbd43;282240;17:12.8
553;9;Purbasaribu;7;administrator;282240;23:01.5
